"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","16.1554557958442","63","14.0342353128991","18.6478051450465"
"2001","15.746908665563","63","13.6397817460317","17.6514577600843"
"2002","15.1810615539983","63","13.4482529267466","16.8291551459293"
"2003","14.6164807576756","63","12.810153256705","16.4591071428571"
"2004","13.7037849080361","63","11.8938928571428","15.649820639131"
"2005","16.1241142582021","63","14.0385511937132","18.1318394777266"
"2006","13.3936675074346","63","11.4898683722655","14.9692722530528"
"2007","14.4842007397539","63","13.1102199792961","16.2450270385932"
"2008","12.5456848015485","63","10.8984478021978","14.1365770388615"
"2009","11.4125069837834","63","9.93790507971821","12.7306099590374"
"2010","12.3903016681023","63","10.712349936143","13.9711294442385"
"2011","11.2550115172759","63","9.82218797859135","12.6183928571429"
"2012","10.3695845169087","63","9.1196406059643","11.8058602150538"
"2013","9.94374857758771","63","8.83737135176651","11.5434096451126"
"2014","10.2341298110401","63","8.65867630700779","11.7176709105259"
"2015","9.58940438483897","63","8.12807291666667","11.0917347929848"
"2016","8.37881461659217","63","7.26640221774194","9.75046583850932"
"2017","8.1574077426052","63","7.21547460140897","9.28647849462366"
"2018","8.31211937157591","63","7.06016009852217","9.47972950268817"
