"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","13.4810368419405","412","8.75378443368449","17.825202661827"
"2001","13.210710767307","412","8.74995535714286","17.1555957796428"
"2002","12.8132246835993","412","8.64138977259338","16.3355734767025"
"2003","12.3162879723415","412","7.92942251801907","16.1814435893083"
"2004","12.0135980412413","412","7.83376336736169","15.4638420936535"
"2005","12.8581577987111","412","7.83923645320197","16.7985632183908"
"2006","11.6132650520293","412","7.76036666731919","14.9438637435728"
"2007","11.9199638162835","412","7.50416798941799","15.3975205254516"
"2008","10.883678839091","412","7.4046875","13.6748312940304"
"2009","9.8546693056144","412","6.93023690078038","12.2639565176203"
"2010","9.94738198822336","412","6.68922360248447","13.1526404654815"
"2011","9.79030828510813","412","6.75208333333333","12.2372854157337"
"2012","9.1458141052839","412","6.65190147783251","11.2669390679706"
"2013","8.93863186217096","412","6.41937839930174","11.2394642857143"
"2014","8.82133364171004","412","6.1104866791581","11.1086361631704"
"2015","8.4983885276737","412","6.03084823083849","10.6845833333333"
"2016","7.71327216558392","412","5.59903781979978","9.54635057471264"
"2017","8.01338800998688","412","5.81727404121981","9.77438988095238"
"2018","8.15956726773362","412","6.01170032642004","10.4725908763263"
