"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","13.8264807694198","86","10.6721444154998","16.3766954950017"
"2001","14.0656364452926","86","11.1264692202758","16.5767041514361"
"2002","13.4400025755837","86","10.8461138204857","15.8785119047619"
"2003","13.275597453594","86","9.88104395604396","15.6748148148148"
"2004","12.79070310481","86","9.52823598092621","15.3781066264103"
"2005","13.6748098503641","86","10.2568672068672","16.5349137931034"
"2006","11.8541245799142","86","8.82533926585095","14.4151751946607"
"2007","12.3958557148047","86","9.21318942399402","15.0615740740741"
"2008","11.3010003196029","86","8.66703863346105","13.4937463535866"
"2009","9.9003076092009","86","7.59949791587723","12.1544801968749"
"2010","9.93408846694937","86","7.54597701149425","12.5360259034444"
"2011","9.98660521104363","86","7.8351724137931","12.1957338851735"
"2012","9.25417245382948","86","7.21397599897322","11.4517370069544"
"2013","8.76349787664817","86","6.67105584924659","11.1387309341584"
"2014","8.62429045399609","86","6.09603421791408","10.5794031858658"
"2015","8.66680821831471","86","6.25737610361486","10.4132444929213"
"2016","7.45700671360411","86","5.43856321839079","9.2047709959123"
"2017","7.55410921968401","86","5.17911860005515","9.77438988095238"
"2018","7.38634776588938","86","5.34460245975852","8.86143921832328"
