"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","9.3622385955516","17","5.57606048166393","13.5065749863164"
"2001","8.71749161522379","17","5.02830515297906","11.0467533370412"
"2002","8.31697562737394","17","4.68801282051282","10.6820658677366"
"2003","8.66715651289622","17","5.20528846153846","10.4520612648221"
"2004","8.02457591107638","17","5.00293650793651","9.96065476190476"
"2005","8.55130052779634","17","4.33995535714286","11.0704663944229"
"2006","8.17814159068148","17","4.76052083333333","10.7773388305847"
"2007","8.14816327821934","17","4.66006810897435","12.8261131636563"
"2008","7.82106504977018","17","4.55961538461538","10.090085978836"
"2009","7.43367842043575","17","3.96645195902186","9.79830803615286"
"2010","8.34892173717733","17","4.21409343715239","11.3038440860215"
"2011","7.70975054384636","17","4.125625","11.6804944828722"
"2012","7.82813558215153","17","4.44333333333333","11.2669390679706"
"2013","7.42766908339002","17","4.6690625","10.940676079085"
"2014","6.55940293222914","17","4.2500856099763","9.1089717438029"
"2015","7.10106077992914","17","4.4052910977911","10.4771603396603"
"2016","5.709613226397","17","2.47247313047548","7.99963290634486"
"2017","7.25874515619243","17","3.69465518719732","13.2742589022973"
"2018","7.06601931280958","17","4.72213148920045","9.0629497916211"
