"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","11.2126312761133","11","9.43757174169879","12.9994789717544"
"2001","10.6178566738491","11","8.65360815562092","12.1732146697389"
"2002","11.7708268213559","11","8.64138977259338","14.2210282258065"
"2003","10.1555992884558","11","8.18949175824176","11.6466666666667"
"2004","10.5699889348096","11","8.70194753429737","11.9898644049187"
"2005","10.6675088280377","11","9.10701612903226","12.7143168335187"
"2006","9.88549284824944","11","8.34398481973435","11.0595043103448"
"2007","9.40548180163282","11","7.40617352614016","10.779674645844"
"2008","9.67030674836293","11","7.76106192741367","11.8567029849052"
"2009","9.6294713980747","11","7.63306513409962","11.7714027490863"
"2010","8.0153199410197","11","5.75646400700748","9.80975091371365"
"2011","8.72861947530132","11","6.69872728958102","11.0489153439153"
"2012","8.54799015660849","11","6.39061827956989","10.7445967741935"
"2013","10.1570228818387","11","7.83583333333333","14.1914784946237"
"2014","8.54688786555956","11","6.26275862068966","11.0037357641242"
"2015","9.16716733575077","11","7.24559139784946","12.1433198924731"
"2016","6.77637805257547","11","5.45206528375007","8.63478469205213"
"2017","10.4165179288035","11","7.93843251761216","14.1747142159257"
"2018","10.2082722797064","11","7.43675565443085","15.3348568368146"
