"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","12.3623167264981","32","10.5766467453917","14.1602002282394"
"2001","12.0036623463425","32","10.5766467453917","13.5808676307008"
"2002","11.4788982693634","32","10.0345215053763","13.2360075069173"
"2003","11.8538281663315","32","10.2735743646016","13.6887235449735"
"2004","11.1019020391628","32","9.61552556139513","12.8324192031464"
"2005","12.569337716214","32","10.9090965774534","13.9778354194115"
"2006","11.3889397761514","32","8.6502208141321","14.2052438533689"
"2007","11.3499401370156","32","9.89026098901099","12.7830848153215"
"2008","10.4717580707337","32","9.14041666666667","11.5846702145419"
"2009","9.58990021383682","32","8.43277265745008","10.8028985507246"
"2010","10.0773719203151","32","8.77300740138616","11.4391071428571"
"2011","10.4452165811291","32","9.08827308120133","11.8825"
"2012","9.60205016411604","32","8.00688244047619","10.7057692307692"
"2013","9.11089554426219","32","7.41135752688172","10.4880049261084"
"2014","9.07591886676875","32","7.76991617523284","10.3416748768473"
"2015","8.55469748471614","32","7.33392797459893","9.74386188226112"
"2016","8.08760752382946","32","6.82567673252926","9.4264751552795"
"2017","8.23577234424088","32","7.17583333333333","9.1683485958486"
"2018","8.64343992451776","32","7.65117245657568","9.76423543407239"
