"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","14.942456986412","75","10.965376344086","18.4172698868819"
"2001","13.5060841671159","75","10.0015476190476","16.8063752016744"
"2002","12.7031637546082","75","8.85900802478945","15.2557864010989"
"2003","12.6015130792904","75","8.67645771756979","15.1646266427718"
"2004","13.0117234899778","75","9.52535456635484","15.8115187657068"
"2005","13.4006142979271","75","9.2780255839822","16.1310210622711"
"2006","12.9546273157807","75","9.16059139784946","15.9739880952381"
"2007","12.6902313594162","75","8.95523047960662","15.365287027787"
"2008","11.0113924241604","75","7.62531582710949","13.4026923076923"
"2009","9.51686178653264","75","7.01542207792208","11.5421880131363"
"2010","10.3750362478945","75","7.62926843317972","12.435011082971"
"2011","9.95778914778127","75","7.19373498747421","12.0851728864032"
"2012","8.8278862264625","75","6.77558345941498","10.5406025132275"
"2013","8.24988973189797","75","6.20663499025341","9.7332823507601"
"2014","8.65581609757227","75","6.43885972461274","10.3469223819664"
"2015","7.92618753764624","75","5.77913793103448","9.27662466843501"
"2016","7.78389326366131","75","6.24413164097675","9.2823878383389"
"2017","7.83932867884083","75","6.72673440065681","9.43604319163947"
"2018","7.45614364885679","75","6.40869814394912","8.74735318444996"
