"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","9.22058968143244","23","6.82022727272727","11.49129506481"
"2001","9.47677647980672","23","6.39800425861401","11.8019612338026"
"2002","9.40066682651873","23","6.39352150537634","12.571842867326"
"2003","8.47379393279246","23","6.53531162196679","10.681341408149"
"2004","8.91973543314213","23","5.78635757751376","12.8161581428387"
"2005","8.4162669171928","23","6.05575639599555","10.9873655674391"
"2006","8.43965497818133","23","5.80222293511539","10.2249712643678"
"2007","9.04392012924757","23","6.2783267020336","11.7148387096774"
"2008","8.20652265077751","23","5.92350248806728","10.6060215053763"
"2009","8.13151704507125","23","5.45678068223953","10.4514854426619"
"2010","7.3555980692239","23","5.16122947454844","9.17160009040424"
"2011","7.52033225955367","23","5.70299355816597","9.9164072039072"
"2012","7.66521987389202","23","6.17090827415077","9.56229166666667"
"2013","8.18133780110036","23","5.72387320277143","11.9079001433349"
"2014","7.08565488885001","23","5.84023530817009","8.22112643998514"
"2015","6.745388962787","23","4.82358793721419","8.5672816399287"
"2016","7.04853515309944","23","4.98938635520949","9.03851481445607"
"2017","7.16157974388399","23","5.60249582581653","8.90366132723112"
"2018","7.11207024059039","23","4.95674443913574","8.7681030579907"
