"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","12.7914377270543","45","10.0384690799397","15.4882192247855"
"2001","13.0096682818982","45","10.4817816091954","15.7882351186159"
"2002","12.3771729098698","45","9.89188058748404","15.6430173992674"
"2003","12.143091903426","45","9.30134886499403","15.1971076755938"
"2004","10.9160844983036","45","8.35840776992751","13.6635639025725"
"2005","12.9656336121044","45","10.089583958021","16.0074593896028"
"2006","11.2674367732793","45","8.63942528735632","13.3229188977406"
"2007","11.9133956137763","45","9.56973316912972","14.5364379219121"
"2008","10.822249871781","45","9.46192528735632","12.7883481646274"
"2009","10.085937939437","45","8.72878197997775","11.5611597542243"
"2010","9.78542377516938","45","8.50199388209121","11.8504868122445"
"2011","9.48581958860733","45","8.38181364674805","10.9950895164267"
"2012","9.23262740229096","45","7.98000463477938","10.6751966470682"
"2013","8.63833020014805","45","7.46541666666667","10.1086827956989"
"2014","9.00984484838033","45","7.33259364818188","10.2685178058292"
"2015","8.37835843379249","45","6.62725435669262","9.72594152232639"
"2016","7.39014560691161","45","6.2101121616611","8.25292176492399"
"2017","7.39360818598385","45","6.06293724474759","8.12288654060067"
"2018","7.94310809894693","45","6.46914508617997","8.89448891625616"
