"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","13.9057804369665","50","7.5357279229507","22.2221604758774"
"2001","14.2439212578141","50","8.0181731442577","22.0844524993434"
"2002","14.7980989109164","50","8.82090944272445","22.9549547118468"
"2003","12.5090789777426","50","7.31572244623656","18.9758309984295"
"2004","12.1272036103845","50","6.97669642857142","18.5719677985154"
"2005","11.5307000922452","50","6.47328125","17.8742995552564"
"2006","11.47218001714","50","6.83846726190476","17.61492156298"
"2007","11.5096695058047","50","6.00589107651607","18.626608436853"
"2008","11.6845523386818","50","7.17188020728979","16.2887302446488"
"2009","10.5087585812634","50","5.8140625","15.8398094335191"
"2010","9.05910993320432","50","5.80773194702782","13.5082371680983"
"2011","9.84002739450537","50","6.27206559862608","15.0292718121251"
"2012","9.24908711150205","50","5.83351834951127","14.0059642342188"
"2013","10.3207970751599","50","6.58428879842884","15.9132022238605"
"2014","9.49766419332071","50","5.42434692722736","14.2703823875734"
"2015","9.36584179128563","50","5.33398912725916","14.5458288914437"
"2016","8.95983041613419","50","5.70584307278902","12.7897297705314"
"2017","9.93974382784194","50","6.56363852619901","14.155040347277"
"2018","11.2287548886339","50","6.97475045850244","17.1342935173201"
