"","filename","total_wui_households","num_intermix","num_interface","total_val_sum","total_val_avg"
"1","WUI_housing_data_1.csv","1303379","493814","809565","154951918586","119070.774258593"
"2","WUI_housing_data_10.csv","97080","19407","77673","6481191058","66895.7120090829"
"3","WUI_housing_data_11.csv","39321","1269","38052","30365362062","772242.874341955"
"4","WUI_housing_data_12.csv","2845013","698059","2146954","349066714073","123670.780469632"
"5","WUI_housing_data_13.csv","2559956","1052856","1507100","323450939694","126491.413193393"
"6","WUI_housing_data_16.csv","280245","96866","183379","54393648330","197591.744967906"
"7","WUI_housing_data_17.csv","533459","64743","468716","25281556313","47706.3603552094"
"8","WUI_housing_data_18.csv","571049","191316","379733","59340951158","104359.958984767"
"9","WUI_housing_data_19.csv","171559","28115","143444","20170364676","119694.773023173"
"10","WUI_housing_data_20.csv","303751","50560","253191","31436475718","104407.512995941"
"11","WUI_housing_data_21.csv","602647","232228","370419","47875188730","81762.8753264098"
"12","WUI_housing_data_22.csv","376017","124969","251048","4284067251","11432.7157637703"
"13","WUI_housing_data_23.csv","323209","157505","165704","66904225649","208142.31695055"
"14","WUI_housing_data_24.csv","1046163","278989","767174","308716379400","300730.481464705"
"15","WUI_housing_data_25.csv","1400001","494646","905355","516513246928","369138.422949601"
"16","WUI_housing_data_26.csv","518267","163586","354681","44461522599","87450.7247953456"
"17","WUI_housing_data_27.csv","285079","90888","194191","46675242812","164064.067474182"
"18","WUI_housing_data_28.csv","608581","232402","376179","51907782491","85710.1523909382"
"19","WUI_housing_data_29.csv","765173","277583","487590","76555633005","100919.656469983"
"20","WUI_housing_data_30.csv","263622","80666","182956","57901424159","221251.988578481"
"21","WUI_housing_data_31.csv","173816","29362","144454","18173036708","105406.543208301"
"22","WUI_housing_data_32.csv","491670","100025","391645","75923620125","156244.266394885"
"23","WUI_housing_data_33.csv","528351","328064","200287","113055333837","215647.864580293"
"24","WUI_housing_data_34.csv","1076190","281321","794869","349643972166","325340.394049699"
"25","WUI_housing_data_35.csv","340571","127015","213556","45547913736","134198.510154475"
"26","WUI_housing_data_36.csv","2151699","826737","1324962","288051538213","134036.186186227"
"27","WUI_housing_data_37.csv","3253709","1168590","2085119","489190126588","151350.838630513"
"28","WUI_housing_data_38.csv","27531","5351","22180","3573105378","131007.750164992"
"29","WUI_housing_data_39.csv","1506965","403793","1103172","169746456334","113662.677174518"
"30","WUI_housing_data_4.csv","1405154","508762","896392","241177991249","171899.060134524"
"31","WUI_housing_data_40.csv","927981","312690","615291","77181364043","83236.0365798553"
"32","WUI_housing_data_41.csv","609141","169962","439179","141400016407","234437.071571275"
"33","WUI_housing_data_42.csv","1958510","636974","1321536","187613977651","96192.7123816331"
"34","WUI_housing_data_44.csv","187664","63456","124208","50490083314","269936.930957422"
"35","WUI_housing_data_45.csv","1534321","534096","1000225","175676347606","115027.213855672"
"36","WUI_housing_data_46.csv","56066","18077","37989","8972668366","163278.954124434"
"37","WUI_housing_data_47.csv","1487067","501973","985094","180288057539","121422.534322154"
"38","WUI_housing_data_48.csv","4005299","1177867","2827432","587932409487","147258.512604949"
"39","WUI_housing_data_49.csv","434762","101910","332852","121112009036","279027.782596475"
"40","WUI_housing_data_5.csv","815420","333890","481530","64661468670","79921.9198994386"
"41","WUI_housing_data_50.csv","111608","56677","54931","24906365187","236173.312475109"
"42","WUI_housing_data_51.csv","1785789","641667","1144122","418784283633","237202.471140416"
"43","WUI_housing_data_53.csv","1090982","349965","741017","266415182137","248988.013122528"
"44","WUI_housing_data_54.csv","784714","418945","365769","32110937564","40925.9856030384"
"45","WUI_housing_data_55.csv","52670","10681","41989","7862007795","150971.806494354"
"46","WUI_housing_data_56.csv","172627","55661","116966","35464693938","205677.08412158"
"47","WUI_housing_data_6.csv","4282850","937760","3345090","1718099176783","409562.024393279"
"48","WUI_housing_data_8.csv","967012","345948","621064","281472201592","295499.255763854"
"49","WUI_housing_data_9.csv","863779","382528","481251","185623029115","215344.687545318"
