state_and_county_fips_code,PM25,PM10,NOX,SO2,PM25.PRI_wildfire,PM10.PRI_wildfire,NOX_wildfire,SO2_wildfire,PM25_wildfire_percentage,PM10_wildfire_percentage,NOX_wildfire_percentage,SO2_wildfire_percentage
1001,29516900.41451126,29318475.580184765,23459064.79984209,22208060.237708826,73.479496,86.705774,18.44203,8.261003,2.489404204645946e-6,2.9573766126708553e-6,7.861366238318306e-7,3.7198219527399287e-7
1003,24738427.553003646,25996158.852573805,21287361.41539711,27145293.431202695,176.479422,208.24554,45.784176,20.247397,7.133817281712093e-6,8.010627307710202e-6,2.1507680123702125e-6,7.458897820101008e-7
1005,17110788.671009526,18036788.692330044,14955664.702706527,11483680.929208016,53.358701,62.963264,12.753453,5.824897,3.1184244061411736e-6,3.4908245072901738e-6,8.527506636125647e-7,5.072325708026895e-7
1007,2813932.8602666045,2948504.7310654423,2239143.145125072,1885374.764928479,60.457704,71.340026,14.744018,6.680007,2.1485126690006374e-5,2.4195323564639923e-5,6.5846696903231894e-6,3.5430658796652576e-6
1009,1194618.556729571,1244659.625587661,1135247.674868419,802846.9344577013,148.435695,175.15418,37.586287,16.778685,1.2425363239489825e-4,1.4072456147784312e-4,3.310844658136511e-5,2.0898983703952848e-5
1011,2102977.969845365,2179548.476833587,1988498.675128391,1383915.8550849012,1275.532568,1505.128203,316.962668,142.541286,6.06536343361596e-4,6.905688123012644e-4,1.5939797796422206e-4,1.0299852081054113e-4
1013,24123120.40939915,24506388.36069857,5071600.4380183,3965645.6984378193,37.434423,44.172691,7.728049,3.754262,1.551806829493515e-6,1.8024969795565922e-6,1.5237890079171327e-6,9.466962723066539e-7
1015,103528358.54357862,108311214.1883083,72816412.10485837,42958273.20562725,545.972051,644.246856,128.150507,58.963665,5.273647324082528e-6,5.948108520692251e-6,1.7599124056738535e-6,1.3725799619030346e-6
1017,9472121.907400712,9671824.480975991,7630651.547565372,6321788.1806136165,57.123677,67.405912,15.053485,6.617531,6.030715985123503e-6,6.969306787213122e-6,1.9727653538055935e-6,1.0467815135428465e-6
1019,9660354.567984724,9528622.497902285,3877323.982301844,3465443.4828605293,97.427351,114.964269,24.55633,10.98187,1.0085276923776993e-5,1.206515097279898e-5,6.333319091230981e-6,3.1689652577842887e-6
1021,17055479.03850576,18141830.561606634,11671918.735968644,8673338.99816641,55.800933,65.845046,13.618492,6.168207,3.2717306194695283e-6,3.6294598704580107e-6,1.1667740590099141e-6,7.111686746366067e-7
1023,12420883.529005187,12541505.34063486,23961556.394363083,13553209.132212507,13.526778,15.961645,3.431647,1.530755,1.089035089042767e-6,1.2727056733998098e-6,1.4321469538628507e-7,1.129440994429716e-7
1025,38929113.32690471,39313672.78437926,20243594.908370472,17806748.01316101,37.643427,44.419158,9.76662,4.319042,9.669736550096008e-7,1.1298653840769957e-6,4.824548230789594e-7,2.4255085750681623e-7
1027,10223932.61148581,10711293.86563726,5593614.777889116,4747030.395684412,77.489813,91.437967,20.459609,8.987386,7.5792570182774975e-6,8.536594005075405e-6,3.6576721516244497e-6,1.8932648942316765e-6
1029,3709397.1612185454,3712282.204724036,4595074.207820947,1649014.1465900566,492.367013,580.993335,129.676317,57.018195,1.3273504874259845e-4,1.5650570268086337e-4,2.822072313419601e-5,3.457714120761553e-5
1031,16037548.48097522,16238481.06310437,11916867.870991217,7032854.975586656,11.515175,13.587881,2.410947,1.164061,7.180134179273127e-7,8.367704434421007e-7,2.0231381484633876e-7,1.6551756065507353e-7
1033,115323491.61749694,116947128.07870111,79152330.57993408,40053194.01703746,14.19862,16.754335,3.682785,1.628737,1.23119928133062e-7,1.4326418506596374e-7,4.6527815075272386e-8,4.066434750015649e-8
1035,16021363.697014755,18454528.310761467,28236676.969455317,9015430.924546398,366.935964,432.984782,97.745103,42.793501,2.2902917063693575e-5,2.3462251362312617e-5,3.461636194150416e-6,4.746695011936228e-6
1037,5085534.865021216,5184742.206372502,4929057.765895784,3402370.368383112,63.569866,75.012373,16.410959,7.271291,1.2500133749399592e-5,1.4467907952646753e-5,3.3294312583527913e-6,2.1371250665621956e-6
1039,9959246.184817785,10415181.797459595,9990109.672229989,7383914.351509414,167.554682,197.714652,44.220255,19.428156,1.6824032551321614e-5,1.8983312614689578e-5,4.426403358005295e-6,2.6311459038021633e-6
1041,1342550.159574798,1383732.396218914,1280680.56499958,942358.1348349187,8.797856,10.381393,2.196971,0.985956,6.553092960628292e-6,7.502457142990533e-6,1.7154714923004399e-6,1.0462646456304204e-6
1043,16589477.099969424,16831891.121359456,12600181.157380424,10169708.518506266,77.203676,91.100422,18.887853,8.546639,4.653773927578603e-6,5.41236996741232e-6,1.49901440019667e-6,8.404015694694991e-7
1045,24173523.75411939,25058163.98894202,27559015.47394322,20073974.117288306,19.228064,22.689086,4.981431,2.204173,7.954183343553032e-7,9.054568407331249e-7,1.8075504201918585e-7,1.0980252276512104e-7
1047,29361156.44314842,31241034.777441736,21135113.68368606,18397633.69292627,59.651608,70.389025,15.077744,6.735447,2.031650494267913e-6,2.2530951839926223e-6,7.133978187038724e-7,3.661039844808803e-7
1049,4149333.398761043,4162218.09372133,7442470.782593565,4624104.060164397,78.416222,92.531132,20.021278,8.908837,1.8898510788121883e-5,2.223120699503527e-5,2.690138609186847e-6,1.9266082432589704e-6
1051,11178004.274765043,11322405.700718045,10323502.821352936,5336652.795252522,18.113779,21.374273,4.431147,2.005054,1.6204841718385142e-6,1.8877854728915502e-6,4.292290200991373e-7,3.757137810771e-7
1053,78919882.7548978,80717497.28464194,80115086.40159026,49734814.93595855,63.200639,74.576756,16.807358,7.362811,8.00820234316399e-7,9.239230465361526e-7,2.0979017504581236e-7,1.4804138729541438e-7
1055,25838637.924162004,26093563.981927224,11547157.765340341,9668456.681236537,19.998091,23.597739,5.229374,2.305565,7.739607272912616e-7,9.043509355925519e-7,4.5287109661707034e-7,2.3846256708936634e-7
1057,18367793.899074815,19292161.080073938,8282832.604173287,8155138.089487218,39.953542,47.145207,9.849609,4.443358,2.175195465472446e-6,2.4437493966756426e-6,1.1891594905633243e-6,5.448538027489601e-7
1059,1586682.815368618,1626274.481366363,2425510.92745673,1198047.5803537264,453.907977,535.610485,83.399431,42.716072,2.860735445064666e-4,3.29348145800081e-4,3.4384273455922336e-5,3.565473750832832e-5
1061,8122544.38355446,8814000.073256914,8134838.685191273,4740829.616866294,2.231379,2.632989,0.579158,0.256036,2.747142883599165e-7,2.98728043807137e-7,7.119477378872969e-8,5.400658127200123e-8
1063,6279821.185622134,6478070.0090902615,14658985.35598542,11756307.204253206,73.681742,86.944513,15.879266,7.571854,1.1733095548754934e-5,1.3421360509842642e-5,1.0832445503137314e-6,6.440673817421723e-7
1065,18179613.227437746,18310431.05876861,10785149.82078345,5479095.987951896,38.885686,45.885011,9.186078,4.215477,2.1389721284780373e-6,2.505949251152463e-6,8.517339260598894e-7,7.693745481498233e-7
1067,4658330.930798702,4820570.249637717,4641698.129280019,3635233.564526676,1.811187,2.137217,0.461861,0.205572,3.888059965910279e-7,4.433535638570187e-7,9.950259304597218e-8,5.654987399049458e-8
1069,3068915.182301867,3274391.236854067,4644120.722821748,1587518.3252605477,5.334888,6.295181,1.4069,0.618295,1.7383628034967459e-6,1.9225500389648652e-6,3.0294216795147683e-7,3.89472669487783e-7
1071,44122183.464330584,44295239.2740769,21771347.68588408,14263036.43558897,95.495904,112.685139,16.234419,8.629529,2.164351274165775e-6,2.5439559836839446e-6,7.456781837408224e-7,6.050274805768352e-7
1073,523539449.0591793,547950287.0575603,318209553.7747244,193692826.09720552,125.566845,148.169003,31.913265,14.225771,2.39842184243515e-7,2.7040592276290815e-7,1.0029009066959978e-7,7.344500716232381e-8
1075,14270145.983112937,14500154.006154854,8112107.486068357,5463535.250723405,13.380834,15.789336,3.526721,1.550214,9.376802462872254e-7,1.0889081587201025e-6,4.3474781443129934e-7,2.8373826265598675e-7
1077,19333519.048910968,21673420.825804204,9642778.86359726,8053298.303551986,45.940977,54.210359,11.978965,5.287266,2.3762346049767797e-6,2.5012368576102932e-6,1.24227312162287e-6,6.565342299152137e-7
1079,6346385.69792139,6473045.440308637,11129215.527521713,3188071.129762812,76.523154,90.297219,17.52055,8.144179,1.20577534430445e-5,1.3949727347456191e-5,1.5742843650276156e-6,2.5545788247848517e-6
1081,29852912.555885695,30436290.321559194,27951082.859902974,24141583.968000807,31.640636,37.336033,7.895504,3.544836,1.0598843895304226e-6,1.2266946006081908e-6,2.8247578240793093e-7,1.4683526999299674e-7
1083,5352332.570591149,5518226.085389316,5154518.801901324,5261248.381179721,6.3974780000000004,7.549028,1.60241,0.718367,1.195269149594981e-6,1.3680171640643115e-6,3.108747996823537e-7,1.3653926748064338e-7
1085,66580163.66193144,67141711.37600476,9627821.589748256,8894319.678645736,26.820416,31.648133,6.676284,3.00034,4.028289286908905e-7,4.7136321597114484e-7,6.934366136477783e-7,3.373321522503267e-7
1087,2399796.574058896,2527620.788569536,2150056.928419608,2685347.2120516333,1472.926258,1738.053009,335.652544,156.328403,6.137712979182924e-4,6.876241154764443e-4,1.561133287046126e-4,5.8215340756834e-5
1089,83147712.25758511,86631261.62056552,80113815.9227643,57196871.96563569,0.332608,0.39248,0.081985,0.036957,4.000206271095066e-9,4.530466169579927e-9,1.0233565715935896e-9,6.461367331801648e-10
1091,40969707.29339609,41996688.01340562,29157553.210976634,17595589.04782595,25.011033,29.513005,6.022941,2.74255,6.104762433592375e-7,7.027460115564173e-7,2.0656537798009085e-7,1.5586576798000746e-7
1093,5513476.971564526,5555229.108133407,18578345.209888127,5444039.347139707,79.499167,93.809006,20.360344,9.04889,1.4419062129036335e-5,1.688661334645124e-5,1.0959180578237628e-6,1.6621646948151244e-6
1095,41007157.940346465,41136402.66194783,13100883.112470424,8613580.508076673,16.675887,19.67754,4.366034,1.923961,4.0665795528328457e-7,4.783485848703586e-7,3.332625718829652e-7,2.2336367532595355e-7
1097,484625982.8803837,514275935.023699,340610181.2419823,164405847.29346916,291.197058,343.612457,69.145903,31.665467,6.008696774144564e-7,6.681480380453065e-7,2.03005978118065e-7,1.9260547919245373e-7
1099,50998684.10988059,52084502.38189311,29104565.85046439,26469383.828995515,20.968082,24.742277,5.314546,2.371481,4.1114947112797367e-7,4.7504105575560835e-7,1.8260179613416916e-7,8.959335870154237e-8
1101,26707001.44634325,27311961.969579507,38552342.75503981,26117450.894845087,4.620835,5.452664,1.18105,0.525333,1.7301961095421624e-7,1.996438046476948e-7,3.063497353466556e-8,2.0114252425135688e-8
1103,161418682.59304845,166695548.03479335,102287322.64759241,62365676.35305957,68.756827,81.132963,15.990524,7.385223,4.259533400687105e-7,4.86713436300444e-7,1.5632948039017206e-7,1.1841806955145275e-7
1105,1459263.208818611,1498086.905231418,1402611.965808992,1059660.0120897074,8.956699,10.568944,2.228502,1.001609,6.137822803914283e-6,7.054960538732801e-6,1.588822892092365e-6,9.452173230777788e-7
1107,35100079.56300983,37590506.40587115,17518435.93664631,7026977.693694013,17.889399,21.109566,4.419375,1.992003,5.096683318875642e-7,5.615664171180987e-7,2.5226995240797935e-7,2.8347934017032915e-7
1109,13983847.589714196,14428776.853244696,7391985.98275782,6604601.486626326,32.087101,37.862737,7.888756,3.562664,2.294583146315298e-6,2.6241127286881253e-6,1.0672038635355805e-6,5.394214938197327e-7
1111,18054475.39322832,18130266.038527455,20827375.686584424,10079977.243758066,32.903697,38.826302,8.680018,3.814231,1.822467631063995e-6,2.1415186030636693e-6,4.1676004363771457e-7,3.7839678679452653e-7
1113,39829827.85703505,40883391.67646757,35043643.598933935,28832000.876309257,221.377891,261.225936,56.125032,25.042527,5.558093090299373e-6,6.389536809157674e-6,1.601575242641361e-6,8.685670865311676e-7
1115,88277775.870373,94969362.45794445,13423276.881834881,12117140.376365768,98.461326,116.184273,25.1412,11.186748,1.1153580278753343e-6,1.223386890182086e-6,1.8729554803434369e-6,9.232168360300192e-7
1117,312816693.45973676,351829041.3982949,41697325.12077527,32150084.357060164,47.698977,56.284825,11.361815,5.196559,1.5248219803250182e-7,1.5997776868078853e-7,2.724830661700909e-7,1.6163438149296283e-7
1119,27647730.078447264,37481860.86074481,6867846.566842211,5510102.3619081555,22.972233,27.107247,5.53252,2.519182,8.308903817716291e-7,7.232097440602192e-7,8.055683752037888e-7,4.571933213827998e-7
1121,163743879.2673345,177296575.77878073,51393138.32891854,32230981.911095414,160.241926,189.085511,40.982553,18.223985,9.786132264423938e-7,1.0664927405926258e-6,7.974323875243755e-7,5.654182379633445e-7
1123,8386939.663242668,8564321.16414252,7938798.106645254,7399623.675453082,79.952271,94.343537,20.627659,9.141628,9.532949348664779e-6,1.1015880323942278e-5,2.5983352546443273e-6,1.23541796190605e-6
1125,97277878.81778625,101376926.33017555,87965231.15843837,52424126.29066596,68.576222,80.920065,16.344622,7.47376,7.049518640147564e-7,7.98209887883665e-7,1.8580775364030958e-7,1.4256336783872529e-7
1127,23087163.533942536,24312439.795677293,14155818.269013915,11085233.365321688,188.45497,222.37666,48.687821,21.566061,8.162759783068856e-6,9.146620490122021e-6,3.4394211676603815e-6,1.9454764991656236e-6
