% Supporting datasets from Abatzoglou and Williams, Impact of anthropogenic climate change on wildfire across western US forests, PNAS201607171
% forested area burned, units: ha, 2015 estimated from MODIS
% fuel aridity metrics calculated from gridMET (Abatzoglou, 2013)
% Z and Z_NOACC refer to standardized fuel aridity indices calculated across forested regions only using the primary gridded datasets of Abatzoglou (2013) and PRISM
% ZH and ZH_NOACC refer to the percent of forested land with fuel aridity exceeding 1 sigma
% FWSL and FWSL_NOACC refer to the fire weather season length expressed as a percent of normal from 1981-2010 NOACC baseline, data averaged over forested region
% HFD and HFD_NOACC refer to the number of days per year with fire danger indices exceedin the 1981-2010 95th percentile as derived from the 1981-2010 NOACC baseline, data averaged over forested region
% NOACC refers to metrics calculated after excluding the anthropogenic climate signal
% NaN refers to no data for the given metric and year

year, area burned, Z PDSI, Z FWI, Z ERC, Z FFDI, Z ETo, Z CWD, Z KBDI, Z VPD, Z MEAN, ZH PDSI, ZH FWI, ZH ERC, ZH FFDI, ZH ETo, ZH CWD, ZH KBDI, ZH VPD, ZH MEAN, FWSL KBDI, FWSL FFDI, FWSL FWI, FWSL ERC, FWSL MEAN, HFD KBDI, HFD FFDI, HFD FWI, HFD ERC, HFD MEAN, Z_NOACC PDSI, Z_NOACC FWI, Z_NOACC ERC, Z_NOACC FFDI, Z_NOACC ETo, Z_NOACC CWD, Z_NOACC KBDI, Z_NOACC VPD, Z_NOACC MEAN, ZH_NOACC PDSI, ZH_NOACC FWI, ZH_NOACC ERC, ZH_NOACC FFDI, ZH_NOACC ETo, ZH_NOACC CWD, ZH_NOACC KBDI, ZH_NOACC VPD, ZH_NOACC MEAN, FWSL_NOACC KBDI, FWSL_NOACC FFDI, FWSL_NOACC FWI, FWSL_NOACC ERC, FWSL_NOACC MEAN, HFD_NOACC KBDI, HFD_NOACC FFDI, HFD_NOACC FWI, HFD_NOACC ERC, HFD_NOACC MEAN,
1948, NaN, -0.96,  NaN,  NaN,  NaN, -0.72, -0.56,  NaN, -0.42, -0.67,  1.0,  NaN,  NaN,  NaN,  7.2, 11.0,  NaN,  9.6,  7.2,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -1.00,  NaN,  NaN,  NaN, -0.98, -0.69,  NaN, -0.63, -0.82,  1.0,  NaN,  NaN,  NaN,  2.2,  8.0,  NaN,  5.8,  4.3,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1949, NaN, 0.31,  NaN,  NaN,  NaN, 0.34, 0.20,  NaN, 0.44, 0.32, 27.4,  NaN,  NaN,  NaN, 32.3, 21.6,  NaN, 24.7, 26.5,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.25,  NaN,  NaN,  NaN, 0.09, 0.06,  NaN, 0.22, 0.15, 25.3,  NaN,  NaN,  NaN, 20.4, 14.8,  NaN, 14.6, 18.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1950, NaN, 0.18,  NaN,  NaN,  NaN, -0.14, 0.30,  NaN, 0.06, 0.10, 11.3,  NaN,  NaN,  NaN,  6.3, 21.0,  NaN,  8.7, 11.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.10,  NaN,  NaN,  NaN, -0.41, 0.15,  NaN, -0.16, -0.08,  8.1,  NaN,  NaN,  NaN,  2.5, 17.3,  NaN,  3.2,  7.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1951, NaN, 0.53,  NaN,  NaN,  NaN, 0.46, 0.27,  NaN, 0.61, 0.47, 33.6,  NaN,  NaN,  NaN, 27.2, 24.0,  NaN, 34.0, 29.7,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.45,  NaN,  NaN,  NaN, 0.19, 0.13,  NaN, 0.39, 0.29, 30.4,  NaN,  NaN,  NaN, 20.8, 20.1,  NaN, 25.0, 24.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1952, NaN, 0.04,  NaN,  NaN,  NaN, 0.18, 0.46,  NaN, 0.39, 0.27, 12.3,  NaN,  NaN,  NaN, 13.6, 29.1,  NaN, 13.7, 17.2,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.03,  NaN,  NaN,  NaN, -0.06, 0.33,  NaN, 0.18, 0.10, 10.7,  NaN,  NaN,  NaN,  4.5, 23.3,  NaN,  4.7, 10.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1953, NaN, -0.27,  NaN,  NaN,  NaN, -0.32, 0.00,  NaN, 0.11, -0.12,  6.8,  NaN,  NaN,  NaN,  3.2, 18.3,  NaN,  8.6,  9.2,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.35,  NaN,  NaN,  NaN, -0.57, -0.13,  NaN, -0.08, -0.28,  4.8,  NaN,  NaN,  NaN,  1.4, 12.9,  NaN,  3.9,  5.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1954, NaN, 0.30,  NaN,  NaN,  NaN, 0.13, 0.01,  NaN, -0.02, 0.10, 25.6,  NaN,  NaN,  NaN, 25.3, 18.8,  NaN, 13.4, 20.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.22,  NaN,  NaN,  NaN, -0.10, -0.12,  NaN, -0.19, -0.05, 22.9,  NaN,  NaN,  NaN, 19.0, 13.7,  NaN,  9.5, 16.2,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1955, NaN, 0.04,  NaN,  NaN,  NaN, -0.53, -0.01,  NaN, -0.42, -0.23, 12.6,  NaN,  NaN,  NaN,  1.0,  1.0,  NaN,  0.3,  3.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.04,  NaN,  NaN,  NaN, -0.75, -0.12,  NaN, -0.57, -0.37,  9.9,  NaN,  NaN,  NaN,  0.4,  0.4,  NaN,  0.0,  2.7,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1956, NaN, 0.42,  NaN,  NaN,  NaN, 0.90, 0.76,  NaN, 0.83, 0.73, 21.6,  NaN,  NaN,  NaN, 45.4, 39.0,  NaN, 35.6, 35.4,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.35,  NaN,  NaN,  NaN, 0.69, 0.64,  NaN, 0.67, 0.59, 18.3,  NaN,  NaN,  NaN, 34.2, 37.1,  NaN, 32.1, 30.4,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1957, NaN, -0.78,  NaN,  NaN,  NaN, -0.36, -0.80,  NaN, -0.48, -0.61,  0.6,  NaN,  NaN,  NaN,  0.8,  0.5,  NaN,  0.5,  0.6,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.84,  NaN,  NaN,  NaN, -0.56, -0.89,  NaN, -0.62, -0.73,  0.4,  NaN,  NaN,  NaN,  0.1,  0.3,  NaN,  0.2,  0.2,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
