year,fires ,burned_area,forest_service,DOI_agencies,total
1985,"82,591","2,896,147",161505000.00,78438000.00,239943000.00
1986,"85,907","2,719,162",111625000.00,91153000.00,202778000.00
1987,"71,300","2,447,296",253657000.00,81452000.00,335109000.00
1988,"72,750","5,009,290",429609000.00,149317000.00,578926000.00
1989,"48,949","1,827,310",331672000.00,168115000.00,499787000.00
1990,"66,481","4,621,621",253700000.00,144252000.00,397952000.00
1991,"75,754","2,953,578",132300000.00,73820000.00,206120000.00
1992,"87,394","2,069,929",290300000.00,87166000.00,377466000.00
1993,"58,810","1,797,574",184000000.00,56436000.00,240436000.00
1994,"79,107","4,073,579",757200000.00,161135000.00,918335000.00
1995,"82,234","1,840,546",367000000.00,110126000.00,477126000.00
1996,"96,363","6,065,998",547500000.00,153683000.00,701183000.00
1997,"66,196","2,856,959",179100000.00,105048000.00,284148000.00
1998,"81,043","1,329,704",306800000.00,109904000.00,416704000.00
1999,"92,487","5,626,093",361100000.00,154416000.00,515516000.00
2000,"92,250","7,383,493",1076000000.00,334802000.00,1410802000.00
2001,"84,079","3,570,911",683122000.00,269574000.00,952696000.00
2002,"73,457","7,184,712",1279000000.00,395040000.00,1674040000.00
2003,"63,629","3,960,842",1023500000.00,303638000.00,1327138000.00
2004,"65,461","8,097,880",726000000.00,281244000.00,1007244000.00
2005,"66,753","8,689,389",524900000.00,294054000.00,818954000.00
2006,"96,385","9,873,745",1280419000.00,424058000.00,1704477000.00
2007,"85,705","9,328,045",1149654000.00,470491000.00,1620145000.00
2008,"78,979","5,292,468",1193073000.00,392783000.00,1585856000.00
2009,"78,792","5,921,786",702111000.00,218418000.00,920529000.00
2010,"71,971","3,422,724",578285000.00,231214000.00,809499000.00
2011,"74,126","8,711,367",1055736000.00,318789000.00,1374525000.00
2012,"67,774","9,326,238",1436614000.00,465832000.00,1902446000.00
2013,"47,579","4,319,546",1341735000.00,399199000.00,1740934000.00
2014,"63,212","3,595,613",1195955000.00,326194000.00,1522149000.00
2015,"68,151","10,125,149",1713000000.00,417543000.00,2130543000.00
2016,"67,595","5,503,538",1603806000.00,371739000.00,1975545000.00
2017,"71,499","10,026,086",2410165000.00,508000000.00,2918165000.00
2018,"58,083","8,767,492",2615256000.00,528000000.00,3143256000.00
