year,region,acres,total_acres
2009,AK,290,2951597.00
2009,EA,368514,118657.00
2009,GB,64070,170335.00
2009,NO,70966,107411.00
2009,NR,73866,69016.00
2009,NW,157303,117920.00
2009,RM,102045,107188.00
2009,SA,1426365,1227610.00
2009,SO,22974,305974.00
2009,SW,244740,686078.00
2010,AK,505,1125419.00
2010,EA,310082,130103.00
2010,GB,55949,735886.00
2010,NO,55614,35674.00
2010,NR,83889,70474.00
2010,NW,135531,150553.00
2010,RM,127002,151631.00
2010,SA,1489286,624440.00
2010,SO,16928,83986.00
2010,SW,149076,314558.00
2011,AK,8982,293018.00
2011,EA,291768,213172.00
2011,GB,43476,886667.00
2011,NO,46026,24200.00
2011,NR,80358,198624.00
2011,NW,92869,303260.00
2011,RM,117242,517004.00
2011,SA,1104691,3892567.00
2011,SO,13388,104829.00
2011,SW,314011,2278026.00
2012,AK,13226,286887.00
2012,EA,233349,146208.00
2012,GB,45043,2502018.00
2012,NO,40161,771486.00
2012,NR,60690,1497972.00
2012,NW,70067,1515596.00
2012,RM,59116,1244073.00
2012,SA,1322421,718624.00
2012,SO,16669,99914.00
2012,SW,11089,543460.00
2013,AK,5177,1316876.00
2013,EA,136407,64992.00
2013,GB,35888,930795.00
2013,NO,36411,165194.00
2013,NR,34833,179459.00
2013,NW,81380,503993.00
2013,RM,55810,237121.00
2013,SA,1537192,182650.00
2013,SO,12183,412481.00
2013,SW,64759,325985.00
2014,AK,59591,233561.00
2014,EA,289368,54141.00
2014,GB,48514,164802.00
2014,NO,29146,474826.00
2014,NR,79725,143271.00
2014,NW,104084,1383514.00
2014,RM,81207,78345.00
2014,SA,1590641,752694.00
2014,SO,7851,80218.00
2014,SW,99671,230241.00
2015,AK,4953,5111404.00
2015,EA,248862,100294.00
2015,GB,42645,505483.00
2015,NO,32196,594048.00
2015,NR,67474,745947.00
2015,NW,95035,1823473.00
2015,RM,75139,180822.00
2015,SA,2248409,556267.00
2015,SO,14633,304925.00
2015,SW,128914,202486.00
2016,AK,33577,496467.00
2016,EA,281751,98042.00
2016,GB,58711,761622.00
2016,NO,34533,96706.00
2016,NR,60518,202140.00
2016,NW,93682,513226.00
2016,RM,106535,686921.00
2016,SA,3179094,1591044.00
2016,SO,12420,479207.00
2016,SW,154509,584620.00
2017,AK,64950,653023.00
2017,EA,259664,41705.00
2017,GB,47102,2103788.00
2017,NO,32752,672448.00
2017,NR,52359,1551275.00
2017,NW,53293,1121442.00
2017,RM,104654,754747.00
2017,SA,5573996,1960764.00
2017,SO,14238,595873.00
2017,SW,226372,571021.00
2018,AK,36284,410683.00
2018,EA,286946,50734.00
2018,GB,50587,2087922.00
2018,NO,65491,1496950.00
2018,NR,85512,147093.00
2018,NW,122170,1336096.00
2018,RM,108087,748956.00
2018,SA,5432648,1591101.00
2018,SO,22412,348722.00
2018,SW,150838,549235.00
2019,AK,15194,2498159.00
2019,EA,310394,38852.00
2019,GB,87650,459384.00
2019,NO,36694,214742.00
2019,NR,95206,74042.00
2019,NW,122577,249476.00
2019,RM,111590,114685.00
2019,SA,5047086,498925.00
2019,SO,15050,55092.00
2019,SW,217069,461005.00
2008,AK,3990,62648.00
2008,EA,240918,69816.00
2008,GB,72380,145712.00
2008,NO,65608,943155.00
2008,NR,81170,229389.00
2008,NW,113873,282959.00
2008,RM,105989,228701.00
2008,SA,1014983,2204237.00
2008,SO,21718,480389.00
2008,SW,206899,573532.00
2008,GB,7473,71930.00
2007,AK,20650,525017.00
2007,EA,232601,250052.00
2007,GB,72820,2411428.00
2007,NO,54226,208548.00
2007,NR,75147,1084569.00
2007,NW,145214,863214.00
2007,RM,123275,161944.00
2007,SA,2243690,1865655.00
2007,SO,17177,899592.00
2007,SW,153432,167855.00
2007,GB,10835,890171.00
2006,AK,12039,266266.00
2006,EA,199497,150191.00
2006,GB,68156,1244452.00
2006,NO,57337,321653.00
2006,NR,93511,1166476.00
2006,NW,140815,956082.00
2006,RM,93757,658782.00
2006,SA,1896920,2632358.00
2006,SO,10298,367096.00
2006,SW,143707,761518.00
2006,GB,4508,1348871.00
2005,AK,626,
2005,EA,211044,
2005,GB,65316,
2005,NO,73082,
2005,NR,78899,
2005,NW,112197,
2005,RM,123416,
2005,SA,1403158,
2005,SO,21356,
2005,SW,208097,
2005,GB,13155,
2004,AK,55901,
2004,EA,195145,
2004,GB,71854,
2004,NO,65853,
2004,NR,90871,
2004,NW,172973,
2004,RM,124533,
2004,SA,1511322,
2004,SO,13305,
2004,SW,155476,
2004,GB,5053,
2003,AK,1555,
2003,EA,173272,
2003,GB,68193,
2003,NO,48242,
2003,NR,61287,
2003,NW,122582,
2003,RM,83393,
2003,SA,2080790,
2003,SO,19723,
2003,SW,173392,
2003,GB,3584,
2002,AK,1085,
2002,EA,155733,
2002,GB,69977,
2002,NO,60760,
2002,NR,65701,
2002,NW,115714,
2002,RM,41115,
2002,SA,2001974,
2002,SO,27602,
2002,SW,130197,
2002,GB,16033,
2001,AK,2280,
2001,EA,97641,
2001,GB,78709,
2001,NO,46013,
2001,NR,75205,
2001,NW,141543,
2001,RM,70064,
2001,SA,961214,
2001,SO,12307,
2001,SW,152475,
2001,GB,11798,
2000,AK,504,
2000,EA,151007,
2000,GB,29513,
2000,NO,38110,
