"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2011&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:10:06 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",126,0,0
"491 E 48th Street","MI",10475,0,29
"500MW CC","NY",1197047,6,60
"59th Street","NY",831,0,394
"74th Street","NY",448,0,243
"A B Brown","IN",2215050,5654,1606
"A L Pierce","CT",3312,0,3
"ABC Coke","AL",673,1,263
"AC Landfill Energy LLC","NJ","--",0,325
"ACE Cogeneration Facility","CA",860731,650,675
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,153
"AES Alamitos LLC","CA",676281,4,226
"AES Beaver Valley Partners Beaver Valley","PA",1162612,2799,2387
"AES Hawaii","HI",1382834,707,922
"AES Huntington Beach LLC","CA",648301,3,98
"AES Petersburg","IN",10029632,22890,8770
"AES Redondo Beach LLC","CA",292129,1,46
"AES Thames","CT",62519,"--","--"
"AES Warrior Run Cogeneration Facility","MD",1404846,1550,1107
"AG Processing Inc","IA",152054,1528,990
"AL Sandersville LLC","GA",9038,0,2
"AMEA Peaking","AL",5182,0,3
"ANP Bellingham Energy Project","MA",433906,2,26
"ANP Blackstone Energy Project","MA",819332,4,50
"Aberdeen CT","SD",617,0,3
"Abilene Energy Center Combustion Turbine","KS",7564,0,21
"Acadia Energy Center","LA",1129429,7,117
"Ada Cogeneration LP","MI",107359,1,283
"Adobe San Jose","CA",204,0,0
"Adrian","MN",6,0,0
"Adrian Energy Associates LLC","MI","--",0,325
"Aera San Ardo Cogen Facility","CA",39806,0,102
"Afton Generating Station","NM",123445,1,23
"Agnews Power Plant","CA",87438,0,242
"Agrilectric Power Partners Ltd","LA",239,3,53
"Agua Fria","AZ",32605,3,88
"Agua Mansa Power Plant","CA",6366,0,1
"Aidlin Geothermal Power Plant","CA",3396,"--","--"
"Air Products Port Arthur","TX",483350,3,1511
"Airport Industrial","CO",132,0,3
"Al Turi","NY","--",0,128
"Alabama Pine Pulp","AL",24805,3340,672
"Alabama River Pulp","AL",35901,2823,786
"Alakanuk","AK",1402,0,29
"Alameda","CA",444,0,1
"Alamosa","CO",10743,0,31
"Albany","MO",14,0,0
"Albany Brewery","GA",89250,717,555
"Albemarle Hospital Unit","NC",77,0,1
"Albemarle Prime Power Park","NC",112,0,2
"Alden Bailey Power Plant","OR",1114,0,3
"Alexandria","MN",35,0,0
"Algona","IA",56,0,1
"Algonquin Power Sanger LLC","CA",51294,0,158
"Algonquin Windsor Locks","CT",200875,1,224
"Aliso Water Management Agency","CA",1,0,0
"Allegany Cogen","NY",33502,0,89
"Allegheny Energy Units 3 4 & 5","PA",207082,1,20
"Allen","TN",4736496,9956,2320
"Allen S King","MN",3183168,1511,1295
"Alliance Refinery","LA","--",0,13
"Alliant Energy Neenah","WI",18267,0,7
"Alliant SBD 8501 Aegon LI","IA",28,0,1
"Alliant SBD 8602 Marion Sub","IA",86,0,2
"Alliant SBD 9106 Rockwell CR","IA",399,0,8
"Alliant SBD 9107 JBS USA","IA",142,0,3
"Alliant SBD 9201 Norplex","IA",52,0,1
"Alliant SBD 9203 Profol","IA",279,0,5
"Alliant SBD 9205 A Y McDonald","IA",46,0,1
"Alliant SBD 9206 Donaldson","IA",17,0,0
"Alliant SBD 9301 Prairie Farms","IA",30,0,1
"Alliant SBD 9302 Aegon NP","IA",12,0,0
"Alliant SBD 9402 Climax","IA",18,0,0
"Alliant SBD 9403 Aegon DC","IA",99,0,2
"Alliant SBD 9502 Eaton","IA",113,0,2
"Alliant SBD 9801 Aegon Martha's Way","IA",9,0,0
"Alliant SBD 9901 Wells Fargo","IA",10,0,0
"Alliant SBD0201 Ingredion","IA",127,0,3
"Alliant SBG 9802 Toyota","IA",14,0,0
"Alliant Techsystems","MN",5,0,0
"Alma","WI",142046,799,224
"Almond Power Plant","CA",45706,0,6
"Alpena Cement Plant","MI",985477,19917,2290
"Alsey","IL",3366,0,6
"Alta Municipal Utilities","IA",8,0,0
"AltaGas Pomona Energy Inc.","CA",62460,0,172
"AltaGas Ripon Energy Inc.","CA",60932,0,168
"Altamont","IL",80,0,2
"Altamont Gas Recovery","CA","--",0,305
"Amalgamated Sugar LLC Nampa","ID",18441,179,138
"Amalgamated Sugar Twin Falls","ID",269864,1287,519
"Amedee Geothermal Venture I","CA",71,"--","--"
"Amelia","VA",258,0,18
"Ameresco Chicopee Energy","MA","--",0,661
"Ameresco Chiquita Canyon","CA","--",0,78
"Ameresco Delaware Central","DE","--",0,303
"Ameresco Delaware South","DE","--",0,488
"Ameresco Janesville","WI","--",0,271
"Ameresco Jefferson City","MO","--",0,258
"Ameresco Keller Canyon","CA","--",0,329
"Ameresco Ox Mountain","CA","--",0,998
"Ameresco Santa Cruz Energy","CA","--",0,288
"Ameresco Stafford","VA","--",0,163
"American Crystal Sugar Crookston","MN",156299,1445,936
"American Crystal Sugar Drayton","ND",171362,1584,1027
"American Crystal Sugar East Grand Forks","MN",319415,2952,1914
"American Crystal Sugar Hillsboro","ND",205966,576,380
"American Crystal Sugar Moorhead","MN",145982,1349,875
"American Eagle Paper Mills","PA",163694,1968,391
"American Gypsum Cogeneration","CO",11700,0,32
"Ames Electric Services Power Plant","IA",361291,746,678
"Ames GT","IA",733,0,1
"Ampersand Chowchilla Biomass LLC","CA","--",7,74
"Anadarko","OH",66,0,1
"Anadarko Plant","OK",419812,0,24
"Anaheim GT","CA",13733,0,3
"Anchorage 1","AK",59041,0,162
"Anclote","FL",1156293,1934,986
"Anderson","IN",9438,0,5
"Anderson Erickson","IA",5,0,0
"Anderson Regional Landfill","SC","--",0,115
"Androscoggin Energy Center","ME",401050,3,44
"Androscoggin Mill","ME",18488,2843,601
"Angoon","AK",1426,0,28
"Angus Anson","SD",38315,0,16
"Anheuser-Busch Jacksonville","FL",44451,0,119
"Anheuser-Busch St Louis","MO",196922,2678,462
"Aniak","AK",2067,0,41
"Animas","NM",77934,0,212
"Anita","IA",82,0,2
"Ansley","NE",10,0,0
"Anson Abenaki Hydros","ME",88293,328,153
"Anson County Generation Facility","NC",130230,1,88
"Antelope Station","TX",68078,0,1524
"Antelope Valley","ND",5863665,12616,9569
"Anthony","KS",1343,0,32
"Apache Station","AZ",2053412,3548,4209
"Apex Generating Station","NV",398748,2,62
"Arapahoe","CO",734904,1678,1782
"Arapahoe Combustion Turbine Project","CO",84171,0,26
"Arcadia Electric","WI",396,0,8
"Arcanum","OH",21,0,0
"Arcanum Peaking","OH",26,0,1
"ArcelorMittal Burns Harbor","IN",172526,33,1896
"ArcelorMittal Indiana Harbor West","IN",122671,25,804
"ArcelorMittal Warren","OH",47408,15,88
"Arcelormittal Cleveland Inc","OH",49477,13,30
"Archbald Power Station","PA",15409,0,9
"Archer Daniels Midland Cedar Rapids","IA",2405416,2817,2145
"Archer Daniels Midland Clinton","IA",1770828,421,1589
"Archer Daniels Midland Columbus","NE",978032,1981,6769
"Archer Daniels Midland Decatur","IL",4037632,6949,2091
"Archer Daniels Midland Des Moines","IA",146913,1443,935
"Archer Daniels Midland Lincoln","NE",135795,1357,879
"Archer Daniels Midland Mankato","MN",115584,1155,749
"Archer Daniels Midland Peoria","IL",542943,1289,15
"Archer Daniels Midland Southport","NC",8023,0,22
"Argus Cogen Plant","CA",1525407,415,1510
"Argyle","WI",7,0,0
"Arlington Valley Energy Facility","AZ",462858,2,35
"Armstrong","PA",86041,0,21
"Arnold","NE",7,0,0
"Arsenal Hill","LA",46793,6,149
"Arthur Kill Generating Station","NY",950335,5,755
"Arthur Von Rosenberg","TX",711750,3,1877
"Arvada","WY",799,0,2
"Arvah B Hopkins","FL",615625,19,219
"Asbury","MO",1264950,8121,1115
