"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2017&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Dec 03 2019 12:52:51 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",195,0,1
"191 Peachtree Tower","GA",1,0,0
"491 E 48th Street","MI",66820,0,187
"500MW CC","NY",917397,5,61
"59th Street","NY",102,0,208
"74th Street","NY",486,20,123
"A B Brown","IN",2029538,2825,1457
"A L Pierce","CT",2903,0,1
"ABC Coke","AL",6430,1,189
"ABEC Bidart-Old River LLC","CA","--",0,391
"AC Landfill Energy LLC","NJ","--",0,93
"ADS Renewable Energy-Wolf Creek LLC","GA","--",0,211
"AES Alamitos LLC","CA",534451,3,43
"AES Hawaii","HI",1468049,210,957
"AES Huntington Beach LLC","CA",243029,1,16
"AES Petersburg","IN",9400686,7227,7596
"AES Redondo Beach LLC","CA",339750,2,25
"AES Warrior Run Cogeneration Facility","MD",1171837,928,410
"AL Sandersville LLC","GA",809,0,0
"AMEA Peaking","AL",14644,0,10
"ANP Bellingham Energy Project","MA",823878,4,72
"ANP Blackstone Energy Project","MA",808121,4,73
"APG Combined Heat and Power Plant","MD",37101,1,99
"AT&T Anaheim","CA",3512,0,0
"AT&T Holger","CA",3678,0,0
"Aberdeen CT","SD",6257,0,27
"Acadia Energy Center","LA",1867767,9,153
"Ada Cogeneration LP","MI",95172,0,214
"Adkins Energy LLC","IL",21725,0,59
"Adobe San Jose","CA",3405,0,0
"Adrian","MN",11,0,0
"Adrian Energy Associates LLC","MI","--",0,236
"Aera San Ardo Cogen Facility","CA",37535,0,102
"Afton Generating Station","NM",174794,1,34
"Agnews Power Plant","CA",9396,0,22
"AgriReNew","IA","--",0,67
"Agrilectric Power Partners Ltd","LA",360,4,64
"Agua Fria","AZ",130159,11,419
"Agua Mansa Power Plant","CA",6716,0,1
"Aidlin Geothermal Power Plant","CA",3041,"--","--"
"Air Products Port Arthur","TX",619908,3,1700
"Airport Industrial","CO",116,0,2
"Akron WRF","OH","--",0,242
"Al Turi","NY","--",0,109
"Alabama Pine Pulp","AL",21705,3378,684
"Alabama River Pulp","AL",56525,2390,978
"Alakanuk","AK",103,0,2
"Alameda","CA",11381,0,31
"Alamosa","CO",577,0,2
"Albany Green Energy","GA",618,8,83
"Albany Medical Ctr Cogen Plant","NY",26557,0,72
"Albemarle Hospital Unit","NC",85,0,2
"Albemarle Prime Power Park","NC",153,0,3
"Alexandria","MN",55,0,1
"Algona","IA",25,0,0
"Algonquin Power Sanger LLC","CA",39322,0,2
"Algonquin Windsor Locks","CT",77668,0,7
"Allegany Cogen","NY",15685,0,33
"Allegheny Energy Units 3 4 & 5","PA",1473421,7,102
"Allen S King","MN",2801599,1434,1335
"Allendale Biomass","SC","--",34,33
"Allenwood","PA","--",0,283
"Alliant Energy Neenah","WI",211349,1,69
"Alliant SBD 8501 Aegon LI","IA",14,0,0
"Alliant SBD 8602 Marion Sub","IA",36,0,1
"Alliant SBD 9106 Rockwell CR","IA",161,0,3
"Alliant SBD 9107 JBS USA","IA",118,0,2
"Alliant SBD 9201 Norplex","IA",85,0,2
"Alliant SBD 9203 Profol","IA",190,0,4
"Alliant SBD 9205 A Y McDonald","IA",21,0,0
"Alliant SBD 9206 Donaldson","IA",8,0,0
"Alliant SBD 9301 Prairie Farms","IA",44,0,1
"Alliant SBD 9302 Aegon NP","IA",5,0,0
"Alliant SBD 9403 Aegon DC","IA",15,0,0
"Alliant SBD 9502 Eaton","IA",79,0,2
"Alliant SBD 9901 Wells Fargo","IA",2,0,0
"Alliant SBD0201 Ingredion","IA",67,0,1
"Alliant SBG 9802 Toyota","IA",7,0,0
"Almond Power Plant","CA",103489,1,9
"Alpaca","PA",25148,0,579
"Alpena Cement Plant","MI",819624,8978,611
"Alpha Ridge LFG","MD","--",0,56
"Alpine Power Plant","MI",273129,2,86
"Alsey","IL",9020,0,11
"AltaGas Ripon Energy Inc.","CA",10220,0,27
"Altamont","IL",88,0,2
"Altamont Gas Recovery","CA","--",0,118
"Altavista Power Station","VA",462,10,204
"Amalgamated Sugar LLC Nampa","ID",195401,1,449
"Amalgamated Sugar Twin Falls","ID",278797,551,591
"Amazon San Bernardino","CA",2918,0,0
"Ambler","AK",930,2,19
"Amelia","VA",2524,4,550
"Ameresco Butte County","CA","--",0,181
"Ameresco Chicopee Energy","MA","--",0,549
"Ameresco Chiquita Canyon","CA","--",0,88
"Ameresco Dallas LLC","TX","--",0,277
"Ameresco Delaware Central","DE","--",0,304
"Ameresco Delaware South","DE","--",0,325
"Ameresco Forward","CA","--",0,352
"Ameresco Janesville","WI","--",0,182
"Ameresco Jefferson City","MO","--",0,243
"Ameresco Johnson Canyon","CA","--",0,115
"Ameresco Keller Canyon","CA","--",0,314
"Ameresco Ox Mountain","CA","--",0,917
"Ameresco San Joaquin","CA","--",0,315
"Ameresco Santa Cruz Energy","CA","--",0,287
"Ameresco Stafford","VA","--",0,133
"Ameresco Vasco Road","CA","--",0,346
"American Crystal Sugar Crookston","MN",194579,575,357
"American Crystal Sugar Drayton","ND",197466,583,363
"American Crystal Sugar East Grand Forks","MN",355163,1049,652
"American Crystal Sugar Hillsboro","ND",220188,650,303
"American Crystal Sugar Moorhead","MN",179083,529,329
"American Gypsum Cogeneration","CO",19137,0,52
"Ames Electric Services Power Plant","IA",173656,12,214
"Ames GT","IA",1498,0,1
"Amherst College Co Gen","MA",4798,0,11
"Ampersand Chowchilla Biomass LLC","CA",119,0,14
"Anadarko","OH",2,0,0
"Anadarko Plant","OK",478960,1,200
"Anaheim GT","CA",39272,0,8
"Anchorage 1","AK",35431,0,99
"Anclote","FL",1665446,8,1580
"Anderson","IN",6038,0,4
"Anderson Erickson","IA",9,0,0
"Anderson Power Products Division","MA",33,0,1
"Anderson Regional Landfill","SC","--",0,119
"Androscoggin Energy Center","ME",141783,2,19
"Androscoggin Mill","ME",41592,1182,373
"Angoon","AK",1248,2,25
"Angus Anson","SD",45093,0,16
"Anheuser-Busch Jacksonville","FL",50380,0,135
"Anheuser-Busch St Louis","MO",91535,0,108
"Aniak","AK",1895,3,40
"Animas","NM",8313,0,23
"Anita","IA",17,0,0
"Ansley","NE",6,0,0
"Anson County Generation Facility","NC",108687,1,78
"Antelope Station","TX",47999,0,12
"Antelope Valley","ND",6932834,11668,3362
"Anthony","KS",1179,0,28
"Apache Station","AZ",1814127,282,2760
"Apex Generating Station","NV",1182496,6,102
"Apple Campus 2 Fuel Cell","CA","--",0,0
"Apple Data Center - Fuel Cell 1&2","NC","--",0,0
"Arapahoe Combustion Turbine Project","CO",90233,0,21
"Arcadia Electric","WI",370,0,7
"Arcanum","OH",10,0,0
"Arcanum Peaking","OH",43,0,1
"ArcelorMittal Burns Harbor","IN",274160,22,1482
"ArcelorMittal Indiana Harbor West","IN",164220,24,914
"ArcelorMittal Warren","OH",13840,1,85
"Arcelormittal Cleveland Inc","OH",30905,10,22
"Archbald Power Station","PA",45676,0,28
"Archer Daniels Midland Cedar Rapids","IA",2328098,214,1895
"Archer Daniels Midland Clinton","IA",1602151,27,1199
"Archer Daniels Midland Columbus","NE",963019,264,333
"Archer Daniels Midland Decatur","IL",3687029,9133,1733
"Archer Daniels Midland Des Moines","IA",134312,263,265
"Archer Daniels Midland Lincoln","NE",126454,248,250
"Archer Daniels Midland Mankato","MN",112390,220,222
"Archer Daniels Midland Peoria","IL",151687,1,17
"Archer Daniels Midland Southport","NC",953,0,4
"Argonne National Laboratory CHP","IL",22868,0,61
"Argus Cogen Plant","CA",1380656,321,833
"Argyle","WI",11,0,0
"Arizona State University CHP","AZ",28431,0,65
"Arlington Valley Energy Facility","AZ",796212,4,50
"Armstrong","PA",784856,4,188
"Arsenal Hill","LA",16618,6,120
"Arthur Kill Generating Station","NY",495242,3,274
"Arthur Von Rosenberg","TX",907100,5,317
"Arvada","WY",128,0,0
"Arvah B Hopkins","FL",648147,3,258
"Asbury","MO",1002580,824,803
"Ascend Performance Materials Texas Inc.","TX",217885,1,431
"Ascutney","VT",1302,2,7
"Ashdown","AR",281548,5175,1789
"Asheville","NC",1420189,719,571
"Ashland","KS",75,0,2
"Astoria Energy","NY",1266185,12,148
"Astoria Energy II","NY",1029366,30,2291
"Astoria Gas Turbines","NY",23233,2,98
"Astoria Generating Station","NY",511487,26,237
"Atascosita","TX","--",0,565
"Athens Energy","ME","--",14,119
"Athens Generating Plant","NY",1503425,8,114
"Athens Regional Medical Center","GA",55,0,1
"Atlantic","IA",110,0,0
"Attala","MS",872765,5,89
"Auburn","NE",92,0,2
"Auburn State Street","NY",95,0,0
"Audrain Generating Station","MO",21524,0,4
"Augusta Electric Plant No 1","KS",5,0,0
"Augusta Electric Plant No 2","KS",216,0,5
"Auke Bay","AK",186,0,1
"Aurora","IL",225824,1,107
"Aurora Energy LLC Chena","AK",316812,375,726
"Austin Gas Recovery","TX","--",0,547
"Avenue A Generator Sets","IL",153,0,3
"Avon Lake","OH",534694,1751,840
"Avon Park","FL",5188,2,18
"Axiall Natrium Plant","WV",473244,3,474
"Axiall Plaquemine","LA",973919,5,2909
"B Braun Medical","CA",30270,0,82
"B L England","NJ",22835,24,44
"BASF Freeport Works","TX",458501,2,1221
"BC Landfill Energy LLC","NJ","--",0,502
"BJ Gas Recovery","GA","--",0,109
"BMW Manufacturing Co","SC","--",0,100
"BP Naperville Cogeneration Facility","IL",46856,0,128
"BYUI Central Energy Facility","ID",25798,0,71
"Back River Waste Water Treatment","MD","--",0,157
"Backus Microgrid Project","CT",750,1,15
"Bacliff","TX",3889,0,23
"Baconton Power Plant","GA",56,0,0
"Badger Creek Limited","CA",8186,0,115
"Bailly","IN",1635554,494,1059
"Baldwin City Plant No 1","KS",45,0,1
"Baldwin City Plant No 2","KS",101,0,2
"Baldwin Energy Complex","IL",7483017,2832,2931
