"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2018&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Dec 03 2019 12:54:36 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",208,0,1
"191 Peachtree Tower","GA",2,0,0
"4710 Hosting","MN",8,0,0
"491 E 48th Street","MI",34514,0,97
"500MW CC","NY",877755,4,73
"59th Street","NY",192,0,247
"74th Street","NY",340,44,183
"A B Brown","IN",2502450,3200,1930
"A L Pierce","CT",2338,0,1
"ABC Coke","AL",7312,1,197
"ABEC #2 dba West-Star Dairy","CA","--",0,190
"ABEC #3 dba Lakeview Dairy","CA","--",0,158
"ABEC #4 dba CE&S Dairy","CA","--",0,165
"ABEC Bidart-Old River LLC","CA","--",0,332
"AC Landfill Energy LLC","NJ","--",0,229
"ADS Renewable Energy-Wolf Creek LLC","GA","--",0,234
"AES Alamitos LLC","CA",655580,3,45
"AES Hawaii","HI",1412230,279,924
"AES Huntington Beach LLC","CA",195570,1,23
"AES Petersburg","IN",9004748,5457,7462
"AES Redondo Beach LLC","CA",190272,1,12
"AES Warrior Run Cogeneration Facility","MD",1172528,950,449
"AL Sandersville LLC","GA",44581,0,10
"AMEA Peaking","AL",20470,0,14
"ANP Bellingham Energy Project","MA",931358,5,92
"ANP Blackstone Energy Project","MA",874791,4,75
"APG Combined Heat and Power Plant","MD",46853,0,123
"AT&T Anaheim","CA",3648,0,0
"AT&T Holger","CA",3807,0,0
"ATT Van Nyus","CA",2940,0,0
"Aberdeen CT","SD",20113,0,84
"Acadia Energy Center","LA",1768624,9,141
"Ada Cogeneration LP","MI",100919,0,226
"Adkins Energy LLC","IL",20901,0,56
"Adobe San Jose","CA",3917,0,0
"Adrian","MN",10,0,0
"Adrian Energy Associates LLC","MI","--",0,212
"Aera San Ardo Cogen Facility","CA",38841,0,106
"Afton Generating Station","NM",319726,2,44
"Agnews Power Plant","CA",8038,0,19
"AgriReNew","IA","--",0,62
"Agrilectric Power Partners Ltd","LA",810,4,60
"Agua Fria","AZ",103659,0,301
"Agua Mansa Power Plant","CA",4781,0,1
"Aidlin Geothermal Power Plant","CA",3003,"--","--"
"Air Products Port Arthur","TX",721564,3,1885
"Airport Industrial","CO",56,0,1
"Akron WRF","OH","--",0,229
"Al Turi","NY","--",0,97
"Alabama Pine Pulp","AL",32778,3144,663
"Alabama River Pulp","AL",69526,2575,997
"Alakanuk","AK",10,0,0
"Alameda","CA",7640,0,21
"Alamosa","CO",7599,1,24
"Albany Green Energy","GA",942,3,32
"Albany Medical Ctr Cogen Plant","NY",26860,0,73
"Albemarle Hospital Unit","NC",60,0,1
"Albemarle Prime Power Park","NC",112,0,2
"Albert Einstein College of Medicine","NY",33,0,1
"Alexandria","MN",50,0,1
"Algona","IA",85,0,2
"Algonquin Power Sanger LLC","CA",65410,0,9
"Algonquin Windsor Locks","CT",92880,1,30
"Allegany Cogen","NY",15971,0,35
"Allegheny Energy Units 3 4 & 5","PA",1468177,7,105
"Allen S King","MN",2570275,1342,1242
"Allendale Biomass","SC","--",33,32
"Allenwood","PA","--",0,288
"Alliance Refinery","LA",6185,0,10
"Alliant Energy Neenah","WI",132002,1,43
"Alliant SBD 8501 Aegon LI","IA",7,0,0
"Alliant SBD 8602 Marion Sub","IA",24,0,0
"Alliant SBD 9106 Rockwell CR","IA",252,0,5
"Alliant SBD 9107 JBS USA","IA",67,0,1
"Alliant SBD 9201 Norplex","IA",123,0,2
"Alliant SBD 9203 Profol","IA",184,0,3
"Alliant SBD 9205 A Y McDonald","IA",17,0,0
"Alliant SBD 9206 Donaldson","IA",6,0,0
"Alliant SBD 9301 Prairie Farms","IA",66,0,1
"Alliant SBD 9302 Aegon NP","IA",2,0,0
"Alliant SBD 9403 Aegon DC","IA",20,0,0
"Alliant SBD 9502 Eaton","IA",210,0,4
"Alliant SBD 9901 Wells Fargo","IA",2,0,0
"Alliant SBD0201 Ingredion","IA",32,0,1
"Alliant SBG 9802 Toyota","IA",4,0,0
"Almond Power Plant","CA",96152,0,8
"Alpaca","PA",29369,0,677
"Alpena Cement Plant","MI",731360,7732,481
"Alpha Ridge LFG","MD","--",0,49
"Alpine Power Plant","MI",390494,2,154
"Alsey","IL",12682,0,10
"Alta Municipal Utilities","IA",15,0,0
"AltaGas Ripon Energy Inc.","CA",5285,0,14
"Altamont","IL",55,0,1
"Altamont Gas Recovery","CA","--",0,95
"Altavista Power Station","VA",948,10,212
"Amalgamated Sugar LLC Nampa","ID",162813,1,369
"Amalgamated Sugar Twin Falls","ID",205736,398,431
"Amana Society Service Company","IA",2168,4,42
"Amazon San Bernardino","CA",2730,0,0
"Ambler","AK",892,2,18
"Amelia","VA",2309,4,562
"Ameresco Butte County","CA","--",0,151
"Ameresco Chicopee Energy","MA","--",0,546
"Ameresco Chiquita Canyon","CA","--",0,97
"Ameresco Dallas LLC","TX","--",0,225
"Ameresco Delaware Central","DE","--",0,296
"Ameresco Delaware South","DE","--",0,282
"Ameresco Forward","CA","--",0,349
"Ameresco Janesville","WI","--",0,202
"Ameresco Jefferson City","MO","--",0,256
"Ameresco Johnson Canyon","CA","--",0,122
"Ameresco Keller Canyon","CA","--",0,324
"Ameresco Ox Mountain","CA","--",0,944
"Ameresco San Joaquin","CA","--",0,368
"Ameresco Santa Cruz Energy","CA","--",0,296
"Ameresco Stafford","VA","--",0,120
"Ameresco Vasco Road","CA","--",0,360
"American Crystal Sugar Crookston","MN",190456,588,365
"American Crystal Sugar Drayton","ND",194045,599,372
"American Crystal Sugar East Grand Forks","MN",362202,1117,695
"American Crystal Sugar Hillsboro","ND",272959,842,393
"American Crystal Sugar Moorhead","MN",169251,522,325
"American Gypsum Cogeneration","CO",18191,0,50
"Ames Electric Services Power Plant","IA",115798,8,133
"Ames GT","IA",446,0,1
"Amherst College Co Gen","MA",12790,0,34
"Ampersand Chowchilla Biomass LLC","CA",32,0,13
"Anadarko","OH",24,0,0
"Anadarko Plant","OK",753476,1,262
"Anaheim GT","CA",19511,0,3
"Anchorage 1","AK",20587,0,57
"Anclote","FL",1586749,8,1608
"Anderson","IN",4657,0,4
"Anderson Erickson","IA",5,0,0
"Anderson Power Products Division","MA",22,0,0
"Anderson Regional Landfill","SC","--",0,31
"Androscoggin Energy Center","ME",239371,2,33
"Androscoggin Mill","ME",30007,1715,422
"Angoon","AK",1284,2,26
"Angus Anson","SD",76348,0,27
"Anheuser-Busch Jacksonville","FL",36185,0,97
"Anheuser-Busch St Louis","MO",89033,0,105
"Aniak","AK",1993,4,42
"Animas","NM",22175,0,61
"Anita","IA",46,0,1
"Ansley","NE",15,0,0
"Anson County Generation Facility","NC",227497,1,161
"Antelope Station","TX",126955,2,63
"Antelope Valley","ND",7094771,10920,3256
"Anthony","KS",145,0,4
"Apache Station","AZ",1376900,133,1151
"Apex Generating Station","NV",858591,4,86
"Apple Campus 2 Fuel Cell","CA","--",0,0
"Apple Data Center - Fuel Cell 1&2","NC","--",0,0
"Arapahoe Combustion Turbine Project","CO",119478,1,23
"Arcadia Electric","WI",402,1,8
"Arcanum","OH",5,0,0
"Arcanum Peaking","OH",75,0,1
"ArcelorMittal Burns Harbor","IN",456389,14,1604
"ArcelorMittal Indiana Harbor West","IN",167819,24,895
"ArcelorMittal Warren","OH",37926,1,82
"Arcelormittal Cleveland Inc","OH",53371,12,28
"Archbald Power Station","PA",23152,0,14
"Archer Daniels Midland Cedar Rapids","IA",2283247,172,1963
