"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2006&tab=overview&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Nov 25 2019 16:27:35 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
"1515 S Caron Road",7770,"IL","Electric Utility","--","--","--"
"191 Peachtree Tower",54818,"GA","Commercial Non-CHP","--","--","--"
"1st Energy",8812,"VA","Electric Utility","--","--","--"
"2 AC Station",10211,"IN","Industrial CHP","--","--","--"
"3200 Wildwood Plaza",54828,"GA","Commercial Non-CHP","--","--","--"
"491 E 48th Street",7268,"MI","Electric Utility","--","--","--"
"5 in 1 Dam Hydroelectric",10171,"IA","IPP Non-CHP","--","--","--"
"500MW CC",56196,"NY","Electric Utility","--","--","--"
"59th Street",2503,"NY","Electric Utility","--","--","--"
"74th Street",2504,"NY","Electric Utility","--","--","--"
"85 A",52162,"CA","IPP Non-CHP","--","--","--"
"85 B",52163,"CA","IPP Non-CHP","--","--","--"
"99 Islands",3272,"SC","Electric Utility","--","--","--"
"A B Brown",6137,"IN","Electric Utility","--","--","--"
"A G Wishon",293,"CA","Electric Utility","--","--","--"
"ABC Coke",56076,"AL","Industrial Non-CHP","--","--","--"
"ACE Cogeneration Facility",10002,"CA","IPP CHP","--","--","--"
"AD Srvcs Glacier Ridge Landfill, LLC",55817,"WI","Commercial Non-CHP","--","--","--"
"AES Alamitos LLC",315,"CA","IPP Non-CHP","--","--","--"
"AES Beaver Valley Partners Beaver Valley",10676,"PA","IPP CHP","--","--","--"
"AES Deepwater",10670,"TX","IPP CHP","--","--","--"
"AES Hawaii",10673,"HI","IPP CHP","--","--","--"
"AES Huntington Beach LLC",335,"CA","IPP Non-CHP","--","--","--"
"AES Petersburg",994,"IN","Electric Utility","--","--","--"
"AES Redondo Beach LLC",356,"CA","IPP Non-CHP","--","--","--"
"AES Thames",10675,"CT","IPP CHP","--","--","--"
"AES Warrior Run Cogeneration Facility",10678,"MD","IPP CHP","--","--","--"
"AG Processing Inc",10223,"IA","Industrial CHP","--","--","--"
"AL Sandersville LLC",55672,"GA","IPP Non-CHP","--","--","--"
"AMEA Peaking",56018,"AL","Electric Utility","--","--","--"
"ANP Bellingham Energy Project",55211,"MA","IPP Non-CHP","--","--","--"
"ANP Blackstone Energy Project",55212,"MA","IPP Non-CHP","--","--","--"
"Abbott TP 3",3581,"TX","Electric Utility","--","--","--"
"Aberdeen CT",3338,"SD","Electric Utility","--","--","--"
"Abilene Energy Center Combustion Turbine",1251,"KS","Electric Utility","--","--","--"
"Abiquiu Dam",7789,"NM","Electric Utility","--","--","--"
"Acadia Energy Center",55173,"LA","IPP Non-CHP","--","--","--"
"Ada Cogeneration LP",10819,"MI","IPP CHP","--","--","--"
"Ada Dam",50433,"MI","IPP Non-CHP","--","--","--"
"Adams Wind Farm",56307,"MN","IPP Non-CHP","--","--","--"
"Adrian",1956,"MN","Electric Utility","--","--","--"
"Adrian Energy Associates LLC",54903,"MI","IPP Non-CHP","--","--","--"
"Aeolus Wind Facility",56225,"TX","IPP Non-CHP","--","--","--"
"Aera San Ardo Cogen Facility",55184,"CA","Industrial CHP","--","--","--"
"Aera South Belridge Cogen Facility",55185,"CA","Industrial CHP","--","--","--"
"Aeroturbine",56214,"CA","IPP Non-CHP","--","--","--"
"Afton Generating Station",55210,"NM","Electric Utility","--","--","--"
