"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2009&tab=overview&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 16:59:17 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
"1515 S Caron Road",7770,"IL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"191 Peachtree Tower",54818,"GA","Commercial Non-CHP","IC","DFO","Petroleum Liquids"
"1st Energy",8812,"VA","Electric Utility","--","--","--"
"2 AC Station",10211,"IN","Industrial CHP","--","--","--"
"491 E 48th Street",7268,"MI","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"5 in 1 Dam Hydroelectric",10171,"IA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"500MW CC",56196,"NY","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"59th Street",2503,"NY","Electric Utility","GT","KER","Petroleum Liquids"
"74th Street",2504,"NY","Electric Utility","GT","KER","Petroleum Liquids"
"85 A",52162,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"85 B",52163,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"99 Islands",3272,"SC","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A B Brown",6137,"IN","Electric Utility","GT, ST","BIT, NG","Multiple"
"A B Paterson",1407,"LA","Electric Utility","GT, ST","DFO, NG","Multiple"
"A G Wishon",293,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A L Pierce",6635,"CT","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"ABC Coke",56076,"AL","Industrial CHP","ST","OG","Other Gases"
"ACE Cogeneration Facility",10002,"CA","IPP CHP","ST","BIT","Conventional Steam Coal"
"AD Srvcs Glacier Ridge Landfill, LLC",55817,"WI","Commercial Non-CHP","IC","LFG","Landfill Gas"
"AES Alamitos LLC",315,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Beaver Valley Partners Beaver Valley",10676,"PA","IPP CHP","ST","BIT","Conventional Steam Coal"
"AES Deepwater",10670,"TX","IPP CHP","ST","PC","Petroleum Coke"
"AES Hawaii",10673,"HI","IPP CHP","ST","SUB","Conventional Steam Coal"
"AES Huntington Beach LLC",335,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Petersburg",994,"IN","Electric Utility","IC, ST","BIT, DFO","Multiple"
"AES Redondo Beach LLC",356,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Thames",10675,"CT","IPP CHP","ST","BIT","Conventional Steam Coal"
"AES Warrior Run Cogeneration Facility",10678,"MD","IPP CHP","ST","BIT","Conventional Steam Coal"
"AG Processing Inc",10223,"IA","Industrial CHP","ST","SUB","Conventional Steam Coal"
"AL Sandersville LLC",55672,"GA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
